latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.5,10.5,309.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm)
2022-07-01,21.5,14.1,16.5,13.70
2022-07-02,23.7,12.2,18.3,0.00
2022-07-03,26.0,13.0,20.4,0.00
2022-07-04,22.8,14.5,18.7,0.20
2022-07-05,21.5,13.9,18.0,0.10
2022-07-06,17.7,12.8,15.4,0.30
2022-07-07,15.8,11.7,13.8,7.90
2022-07-08,19.0,11.5,15.1,0.10
2022-07-09,19.7,14.2,16.5,1.00
2022-07-10,17.3,11.3,14.1,1.10
2022-07-11,17.5,13.1,15.2,1.30
2022-07-12,24.3,12.0,18.3,0.00
2022-07-13,27.1,14.9,20.6,2.00
2022-07-14,21.4,15.7,18.4,0.20
2022-07-15,17.9,11.1,15.2,0.00
2022-07-16,20.2,11.8,16.0,0.80
2022-07-17,22.9,10.2,16.6,0.00
2022-07-18,28.6,13.7,21.6,0.00
2022-07-19,33.8,21.2,27.4,0.00
2022-07-20,35.5,19.4,28.3,0.00
2022-07-21,27.7,18.1,22.0,3.30
2022-07-22,22.5,16.6,18.7,0.50
2022-07-23,23.5,14.4,18.8,1.30
2022-07-24,28.0,13.2,21.5,0.00
2022-07-25,31.8,16.5,23.7,3.20
2022-07-26,22.1,16.9,18.9,0.70
2022-07-27,20.3,13.9,16.9,0.00
2022-07-28,24.3,10.3,17.5,0.00
2022-07-29,26.4,16.0,20.7,0.90
2022-07-30,22.0,15.2,18.1,5.40
2022-07-31,25.4,14.7,19.3,6.00
2022-08-01,21.6,17.0,19.2,8.50
2022-08-02,25.3,14.2,19.8,0.00
2022-08-03,29.8,16.7,23.7,0.00
2022-08-04,32.3,19.4,26.3,0.10
2022-08-05,24.0,16.8,20.3,1.80
2022-08-06,20.1,11.0,16.1,0.00
2022-08-07,23.3,10.5,17.6,0.00
2022-08-08,25.6,12.7,19.5,0.00
2022-08-09,24.9,14.9,20.2,0.00
2022-08-10,26.1,13.4,20.6,0.00
2022-08-11,28.3,14.1,22.0,0.00
2022-08-12,27.0,14.4,21.5,0.00
2022-08-13,27.2,14.3,21.3,0.00
2022-08-14,28.9,17.0,23.1,0.10
2022-08-15,28.2,18.3,22.9,2.40
2022-08-16,26.8,15.8,22.1,0.00
2022-08-17,30.0,17.8,24.0,0.00
2022-08-18,23.9,17.2,20.8,2.80
2022-08-19,24.1,17.2,20.1,0.10
2022-08-20,22.5,15.7,19.1,6.80
2022-08-21,23.8,16.3,19.6,0.60
2022-08-22,24.5,14.3,19.8,0.00
2022-08-23,25.7,13.3,20.0,0.00
2022-08-24,27.3,14.6,21.3,0.00
2022-08-25,26.5,16.2,21.9,0.00
2022-08-26,27.0,17.5,21.9,10.00
2022-08-27,20.7,16.5,18.4,4.30
2022-08-28,21.1,12.6,16.7,1.60
2022-08-29,19.5,9.5,15.1,0.10
2022-08-30,20.7,13.5,17.5,1.20
2022-08-31,19.8,14.1,16.8,0.40
2022-09-01,19.9,11.2,15.8,0.00
2022-09-02,20.9,11.6,16.5,0.00
2022-09-03,21.7,12.2,17.1,0.10
2022-09-04,24.0,13.9,19.0,0.00
2022-09-05,25.5,15.0,20.4,0.20
2022-09-06,24.6,15.2,19.7,0.70
2022-09-07,25.4,16.3,19.9,1.90
2022-09-08,17.6,14.3,16.2,19.60
2022-09-09,20.2,11.7,16.0,1.40
2022-09-10,17.4,12.8,14.8,9.70
2022-09-11,18.3,11.6,14.5,0.40
2022-09-12,19.7,12.0,15.5,0.00
2022-09-13,21.5,11.1,16.4,0.70
2022-09-14,16.2,13.7,14.7,11.10
2022-09-15,15.4,11.6,13.5,0.20
2022-09-16,14.2,9.4,11.6,0.90
2022-09-17,13.1,8.1,10.0,8.80
2022-09-18,10.8,6.6,8.7,8.20
2022-09-19,14.1,6.2,9.6,5.60
2022-09-20,12.5,6.8,9.2,2.10
2022-09-21,14.0,4.2,9.2,0.00
2022-09-22,15.2,6.8,10.9,0.00
2022-09-23,16.0,5.7,11.1,0.00
2022-09-24,17.6,8.3,12.6,0.20
2022-09-25,14.6,8.4,11.5,0.90
2022-09-26,13.8,5.9,10.0,1.30
2022-09-27,10.9,7.1,9.2,9.70
2022-09-28,9.9,5.8,7.4,9.80
2022-09-29,12.2,4.5,8.3,0.50
2022-09-30,14.4,5.9,9.6,0.00
2022-10-01,12.8,6.9,9.8,8.40
2022-10-02,13.8,8.9,11.1,1.70
2022-10-03,13.8,9.1,11.1,0.50
2022-10-04,15.5,6.8,10.8,0.00
2022-10-05,16.9,7.7,12.3,0.00
2022-10-06,15.5,8.5,13.3,0.20
2022-10-07,15.7,4.4,10.1,0.00
2022-10-08,13.6,7.4,9.9,0.20
2022-10-09,13.8,4.8,8.8,0.00
2022-10-10,16.7,4.6,10.3,0.30
2022-10-11,11.8,4.5,9.0,0.00
2022-10-12,14.3,3.2,8.1,0.00
2022-10-13,14.6,6.2,10.2,0.10
2022-10-14,14.3,8.7,11.7,1.70
2022-10-15,16.3,10.5,13.5,0.50
2022-10-16,17.6,12.8,14.6,0.60
2022-10-17,21.0,12.8,16.1,0.50
2022-10-18,16.3,10.0,14.0,13.40
2022-10-19,11.4,6.0,8.5,0.00
2022-10-20,13.0,4.1,8.5,1.00
2022-10-21,14.4,9.6,11.9,9.70
2022-10-22,16.9,10.8,13.4,2.10
2022-10-23,17.3,8.1,12.5,7.80
2022-10-24,17.5,12.3,14.5,2.80
2022-10-25,14.9,9.3,12.2,1.20
